timestamp,vehicle_id,sensor_type,impact_force_g,airbag_status,diagnostic_code
2026-01-01 00:00:00,V201,Airbag Deployment Sensor,0.98,OK,A1
2026-01-01 01:00:00,V201,Airbag Deployment Sensor,4.92,OK,None
2026-01-01 02:00:00,V201,Airbag Deployment Sensor,4.73,Deployed,B2
2026-01-01 03:00:00,V200,Airbag Deployment Sensor,1.73,OK,None
2026-01-01 04:00:00,V201,Airbag Deployment Sensor,4.34,OK,None
2026-01-01 05:00:00,V201,Airbag Deployment Sensor,3.99,OK,C3
2026-01-01 06:00:00,V201,Airbag Deployment Sensor,6.16,Fault,A1
2026-01-01 07:00:00,V200,Airbag Deployment Sensor,6.35,Deployed,None
2026-01-01 08:00:00,V201,Airbag Deployment Sensor,0.45,OK,None
2026-01-01 09:00:00,V200,Airbag Deployment Sensor,3.75,OK,C3
2026-01-01 10:00:00,V201,Airbag Deployment Sensor,6.26,OK,C3
2026-01-01 11:00:00,V200,Airbag Deployment Sensor,5.03,OK,A1
2026-01-01 12:00:00,V200,Airbag Deployment Sensor,8.56,OK,C3
2026-01-01 13:00:00,V201,Airbag Deployment Sensor,6.59,OK,B2
2026-01-01 14:00:00,V200,Airbag Deployment Sensor,1.63,Fault,C3
2026-01-01 15:00:00,V201,Airbag Deployment Sensor,0.71,OK,B2
2026-01-01 16:00:00,V201,Airbag Deployment Sensor,6.42,OK,A1
2026-01-01 17:00:00,V201,Airbag Deployment Sensor,0.27,OK,A1
2026-01-01 18:00:00,V200,Airbag Deployment Sensor,5.86,OK,A1
2026-01-01 19:00:00,V200,Airbag Deployment Sensor,9.4,OK,A1
2026-01-01 20:00:00,V201,Airbag Deployment Sensor,5.75,OK,A1
2026-01-01 21:00:00,V201,Airbag Deployment Sensor,3.88,OK,B2
2026-01-01 22:00:00,V200,Airbag Deployment Sensor,6.43,OK,B2
2026-01-01 23:00:00,V201,Airbag Deployment Sensor,4.58,OK,A1
2026-01-02 00:00:00,V201,Airbag Deployment Sensor,5.46,OK,C3
2026-01-02 01:00:00,V201,Airbag Deployment Sensor,9.41,Deployed,None
2026-01-02 02:00:00,V200,Airbag Deployment Sensor,3.86,OK,A1
2026-01-02 03:00:00,V200,Airbag Deployment Sensor,9.61,OK,C3
2026-01-02 04:00:00,V200,Airbag Deployment Sensor,9.05,Fault,None
2026-01-02 05:00:00,V201,Airbag Deployment Sensor,1.96,OK,A1
2026-01-02 06:00:00,V201,Airbag Deployment Sensor,0.69,Deployed,A1
2026-01-02 07:00:00,V201,Airbag Deployment Sensor,1.01,OK,B2
2026-01-02 08:00:00,V200,Airbag Deployment Sensor,0.18,Deployed,None
2026-01-02 09:00:00,V201,Airbag Deployment Sensor,0.94,OK,None
2026-01-02 10:00:00,V201,Airbag Deployment Sensor,6.83,Fault,C3
2026-01-02 11:00:00,V201,Airbag Deployment Sensor,0.71,OK,B2
2026-01-02 12:00:00,V201,Airbag Deployment Sensor,3.19,Deployed,B2
2026-01-02 13:00:00,V200,Airbag Deployment Sensor,8.45,OK,B2
2026-01-02 14:00:00,V200,Airbag Deployment Sensor,0.23,OK,B2
2026-01-02 15:00:00,V201,Airbag Deployment Sensor,8.14,Deployed,None
2026-01-02 16:00:00,V200,Airbag Deployment Sensor,2.82,OK,None
2026-01-02 17:00:00,V200,Airbag Deployment Sensor,1.18,OK,A1
2026-01-02 18:00:00,V201,Airbag Deployment Sensor,6.97,OK,A1
2026-01-02 19:00:00,V201,Airbag Deployment Sensor,6.29,OK,B2
2026-01-02 20:00:00,V200,Airbag Deployment Sensor,8.77,OK,B2
2026-01-02 21:00:00,V201,Airbag Deployment Sensor,7.35,OK,B2
2026-01-02 22:00:00,V200,Airbag Deployment Sensor,8.03,Fault,A1
2026-01-02 23:00:00,V201,Airbag Deployment Sensor,2.82,OK,C3
2026-01-03 00:00:00,V200,Airbag Deployment Sensor,1.77,OK,C3
2026-01-03 01:00:00,V201,Airbag Deployment Sensor,7.51,Deployed,A1
2026-01-03 02:00:00,V200,Airbag Deployment Sensor,8.07,Fault,A1
2026-01-03 03:00:00,V200,Airbag Deployment Sensor,9.91,OK,A1
2026-01-03 04:00:00,V200,Airbag Deployment Sensor,4.13,OK,A1
2026-01-03 05:00:00,V201,Airbag Deployment Sensor,3.72,OK,A1
2026-01-03 06:00:00,V200,Airbag Deployment Sensor,7.76,OK,A1
2026-01-03 07:00:00,V200,Airbag Deployment Sensor,3.41,OK,B2
2026-01-03 08:00:00,V201,Airbag Deployment Sensor,9.31,OK,B2
2026-01-03 09:00:00,V201,Airbag Deployment Sensor,8.58,OK,B2
2026-01-03 10:00:00,V200,Airbag Deployment Sensor,4.29,OK,B2
2026-01-03 11:00:00,V200,Airbag Deployment Sensor,7.51,Deployed,A1
2026-01-03 12:00:00,V201,Airbag Deployment Sensor,7.55,Deployed,C3
2026-01-03 13:00:00,V201,Airbag Deployment Sensor,1.03,OK,None
2026-01-03 14:00:00,V201,Airbag Deployment Sensor,9.03,OK,A1
2026-01-03 15:00:00,V201,Airbag Deployment Sensor,5.05,OK,None
2026-01-03 16:00:00,V201,Airbag Deployment Sensor,8.26,OK,C3
2026-01-03 17:00:00,V200,Airbag Deployment Sensor,3.2,OK,B2
2026-01-03 18:00:00,V201,Airbag Deployment Sensor,8.96,OK,C3
2026-01-03 19:00:00,V200,Airbag Deployment Sensor,3.89,Fault,A1
2026-01-03 20:00:00,V200,Airbag Deployment Sensor,0.11,OK,B2
2026-01-03 21:00:00,V200,Airbag Deployment Sensor,9.05,Fault,A1
2026-01-03 22:00:00,V201,Airbag Deployment Sensor,0.91,OK,B2
2026-01-03 23:00:00,V200,Airbag Deployment Sensor,3.19,OK,None
2026-01-04 00:00:00,V200,Airbag Deployment Sensor,9.5,OK,None
2026-01-04 01:00:00,V201,Airbag Deployment Sensor,9.51,Fault,None
2026-01-04 02:00:00,V200,Airbag Deployment Sensor,5.73,Fault,C3
2026-01-04 03:00:00,V200,Airbag Deployment Sensor,6.32,OK,A1
2026-01-04 04:00:00,V201,Airbag Deployment Sensor,4.48,OK,C3
2026-01-04 05:00:00,V200,Airbag Deployment Sensor,2.93,OK,None
2026-01-04 06:00:00,V200,Airbag Deployment Sensor,3.29,OK,A1
2026-01-04 07:00:00,V200,Airbag Deployment Sensor,6.73,Deployed,None
2026-01-04 08:00:00,V201,Airbag Deployment Sensor,7.52,OK,C3
2026-01-04 09:00:00,V201,Airbag Deployment Sensor,7.92,OK,C3
2026-01-04 10:00:00,V201,Airbag Deployment Sensor,7.9,OK,C3
2026-01-04 11:00:00,V200,Airbag Deployment Sensor,0.91,Deployed,None
2026-01-04 12:00:00,V200,Airbag Deployment Sensor,4.94,OK,A1
2026-01-04 13:00:00,V201,Airbag Deployment Sensor,0.58,OK,A1
2026-01-04 14:00:00,V200,Airbag Deployment Sensor,5.5,OK,None
2026-01-04 15:00:00,V200,Airbag Deployment Sensor,4.42,OK,A1
2026-01-04 16:00:00,V201,Airbag Deployment Sensor,8.88,OK,None
2026-01-04 17:00:00,V201,Airbag Deployment Sensor,3.51,OK,A1
2026-01-04 18:00:00,V200,Airbag Deployment Sensor,1.17,Fault,B2
2026-01-04 19:00:00,V200,Airbag Deployment Sensor,1.43,OK,B2
2026-01-04 20:00:00,V200,Airbag Deployment Sensor,7.62,Deployed,C3
2026-01-04 21:00:00,V201,Airbag Deployment Sensor,6.18,Deployed,B2
2026-01-04 22:00:00,V201,Airbag Deployment Sensor,1.01,OK,B2
2026-01-04 23:00:00,V201,Airbag Deployment Sensor,0.84,OK,B2
2026-01-05 00:00:00,V201,Airbag Deployment Sensor,7.01,Fault,None
2026-01-05 01:00:00,V200,Airbag Deployment Sensor,0.73,OK,B2
2026-01-05 02:00:00,V201,Airbag Deployment Sensor,8.22,OK,B2
2026-01-05 03:00:00,V201,Airbag Deployment Sensor,7.06,OK,C3
