timestamp,vehicle_id,sensor_type,brake_pad_thickness_mm,brake_temp_c,status
1/1/2026 0:00,V102,Brake Pad Wear Sensor,12.29,73.9,Good
1/1/2026 1:00,V100,Brake Pad Wear Sensor,12.34,53,Good
1/1/2026 2:00,V102,Brake Pad Wear Sensor,12.25,165.6,Good
1/1/2026 3:00,V102,Brake Pad Wear Sensor,12.07,166.1,Good
1/1/2026 4:00,V100,Brake Pad Wear Sensor,11.49,128.6,Good
1/1/2026 5:00,V100,Brake Pad Wear Sensor,11.18,87.5,Good
1/1/2026 6:00,V102,Brake Pad Wear Sensor,10.64,88.9,Good
1/1/2026 7:00,V101,Brake Pad Wear Sensor,11.84,141.6,Good
1/1/2026 8:00,V102,Brake Pad Wear Sensor,11.1,165.6,Good
1/1/2026 9:00,V102,Brake Pad Wear Sensor,10.89,164.2,Good
1/1/2026 10:00,V102,Brake Pad Wear Sensor,11.58,149.2,Good
1/1/2026 11:00,V102,Brake Pad Wear Sensor,10.44,129.9,Good
1/1/2026 12:00,V100,Brake Pad Wear Sensor,11.21,51.8,Good
1/1/2026 13:00,V102,Brake Pad Wear Sensor,10.84,62.6,Good
1/1/2026 14:00,V101,Brake Pad Wear Sensor,10.07,165.8,Good
1/1/2026 15:00,V100,Brake Pad Wear Sensor,10.45,124.9,Good
1/1/2026 16:00,V101,Brake Pad Wear Sensor,10.87,41.3,Good
1/1/2026 17:00,V101,Brake Pad Wear Sensor,10.68,54.2,Good
1/1/2026 18:00,V101,Brake Pad Wear Sensor,10.93,132.9,Good
1/1/2026 19:00,V101,Brake Pad Wear Sensor,10.25,40.7,Good
1/1/2026 20:00,V100,Brake Pad Wear Sensor,11.67,62.5,Good
1/1/2026 21:00,V100,Brake Pad Wear Sensor,9.42,116.8,Good
1/1/2026 22:00,V101,Brake Pad Wear Sensor,9.58,136.9,Good
1/1/2026 23:00,V101,Brake Pad Wear Sensor,9.65,131.3,Good
1/2/2026 0:00,V100,Brake Pad Wear Sensor,8.87,71.4,Good
1/2/2026 1:00,V100,Brake Pad Wear Sensor,10,139.7,Good
1/2/2026 2:00,V100,Brake Pad Wear Sensor,9.83,73.2,Good
1/2/2026 3:00,V102,Brake Pad Wear Sensor,9.28,85.6,Good
1/2/2026 4:00,V102,Brake Pad Wear Sensor,8.9,144.5,Good
1/2/2026 5:00,V102,Brake Pad Wear Sensor,8.32,130.9,Good
1/2/2026 6:00,V101,Brake Pad Wear Sensor,8.58,158.9,Good
1/2/2026 7:00,V102,Brake Pad Wear Sensor,9.24,132.1,Good
1/2/2026 8:00,V101,Brake Pad Wear Sensor,8.66,119.6,Good
1/2/2026 9:00,V101,Brake Pad Wear Sensor,8.45,53.1,Good
1/2/2026 10:00,V102,Brake Pad Wear Sensor,8.82,91.5,Good
1/2/2026 11:00,V101,Brake Pad Wear Sensor,9.04,77.1,Good
1/2/2026 12:00,V102,Brake Pad Wear Sensor,8.49,74.2,Good
1/2/2026 13:00,V102,Brake Pad Wear Sensor,8.42,176.2,Good
1/2/2026 14:00,V100,Brake Pad Wear Sensor,8.85,95,Good
1/2/2026 15:00,V102,Brake Pad Wear Sensor,8.15,164.9,Good
1/2/2026 16:00,V100,Brake Pad Wear Sensor,7.8,128.4,Good
1/2/2026 17:00,V102,Brake Pad Wear Sensor,8.2,151.3,Good
1/2/2026 18:00,V102,Brake Pad Wear Sensor,7.63,110.4,Good
1/2/2026 19:00,V100,Brake Pad Wear Sensor,7.47,120.8,Good
1/2/2026 20:00,V100,Brake Pad Wear Sensor,8.19,109,Good
1/2/2026 21:00,V102,Brake Pad Wear Sensor,7.31,67.3,Good
1/2/2026 22:00,V101,Brake Pad Wear Sensor,6.03,141.1,Good
1/2/2026 23:00,V100,Brake Pad Wear Sensor,7.43,79.3,Good
1/3/2026 0:00,V101,Brake Pad Wear Sensor,6.95,43.4,Good
1/3/2026 1:00,V101,Brake Pad Wear Sensor,6.91,130.4,Good
1/3/2026 2:00,V101,Brake Pad Wear Sensor,7.18,64.8,Good
1/3/2026 3:00,V100,Brake Pad Wear Sensor,6.77,171.7,Good
1/3/2026 4:00,V101,Brake Pad Wear Sensor,6.85,173.6,Good
1/3/2026 5:00,V100,Brake Pad Wear Sensor,5.64,168.1,Good
1/3/2026 6:00,V101,Brake Pad Wear Sensor,6.07,91.8,Good
1/3/2026 7:00,V102,Brake Pad Wear Sensor,7.15,42.2,Good
1/3/2026 8:00,V102,Brake Pad Wear Sensor,6.33,170,Good
1/3/2026 9:00,V100,Brake Pad Wear Sensor,5.41,99.9,Good
1/3/2026 10:00,V102,Brake Pad Wear Sensor,5.61,175.3,Good
1/3/2026 11:00,V102,Brake Pad Wear Sensor,5.54,174.9,Good
1/3/2026 12:00,V101,Brake Pad Wear Sensor,5.99,159.4,Warning
1/3/2026 13:00,V100,Brake Pad Wear Sensor,5.62,81.2,Warning
1/3/2026 14:00,V101,Brake Pad Wear Sensor,5.41,93.9,Warning
1/3/2026 15:00,V101,Brake Pad Wear Sensor,5.64,159.2,Warning
1/3/2026 16:00,V101,Brake Pad Wear Sensor,5.77,84.4,Warning
1/3/2026 17:00,V101,Brake Pad Wear Sensor,5.3,63.7,Warning
1/3/2026 18:00,V101,Brake Pad Wear Sensor,5.05,118,Warning
1/3/2026 19:00,V101,Brake Pad Wear Sensor,5.02,171.1,Warning
1/3/2026 20:00,V101,Brake Pad Wear Sensor,5.3,137.4,Warning
1/3/2026 21:00,V100,Brake Pad Wear Sensor,5.03,119.8,Warning
1/3/2026 22:00,V102,Brake Pad Wear Sensor,5.31,53.6,Warning
1/3/2026 23:00,V101,Brake Pad Wear Sensor,4.25,126.1,Warning
1/4/2026 0:00,V101,Brake Pad Wear Sensor,4.34,178.6,Warning
1/4/2026 1:00,V101,Brake Pad Wear Sensor,5.01,59.6,Warning
1/4/2026 2:00,V101,Brake Pad Wear Sensor,4.12,112.6,Warning
1/4/2026 3:00,V101,Brake Pad Wear Sensor,5.12,162.8,Warning
1/4/2026 4:00,V101,Brake Pad Wear Sensor,5.03,143.7,Warning
1/4/2026 5:00,V102,Brake Pad Wear Sensor,4.92,137.6,Warning
1/4/2026 6:00,V102,Brake Pad Wear Sensor,3.68,138.3,Warning
1/4/2026 7:00,V101,Brake Pad Wear Sensor,4.06,90.3,Warning
1/4/2026 8:00,V102,Brake Pad Wear Sensor,3.67,81.1,Warning
1/4/2026 9:00,V100,Brake Pad Wear Sensor,4.28,153.3,Warning
1/4/2026 10:00,V101,Brake Pad Wear Sensor,4.57,153.4,Warning
1/4/2026 11:00,V100,Brake Pad Wear Sensor,4.05,161.4,Warning
1/4/2026 12:00,V100,Brake Pad Wear Sensor,3.52,167.9,Warning
1/4/2026 13:00,V101,Brake Pad Wear Sensor,3.23,111.6,Warning
1/4/2026 14:00,V102,Brake Pad Wear Sensor,3.64,110.2,Warning
1/4/2026 15:00,V100,Brake Pad Wear Sensor,2.6,151.8,Warning
1/4/2026 16:00,V101,Brake Pad Wear Sensor,3.38,131,Warning
1/4/2026 17:00,V100,Brake Pad Wear Sensor,2.55,138.3,Warning
1/4/2026 18:00,V100,Brake Pad Wear Sensor,3.22,151.4,Critical
1/4/2026 19:00,V100,Brake Pad Wear Sensor,2.73,164.6,Critical
1/4/2026 20:00,V100,Brake Pad Wear Sensor,2.51,87.3,Critical
1/4/2026 21:00,V102,Brake Pad Wear Sensor,2.16,92.6,Critical
1/4/2026 22:00,V100,Brake Pad Wear Sensor,2.33,53.2,Critical
1/4/2026 23:00,V100,Brake Pad Wear Sensor,2.68,121,Critical
1/5/2026 0:00,V100,Brake Pad Wear Sensor,2.82,45,Critical
1/5/2026 1:00,V102,Brake Pad Wear Sensor,2.47,105.2,Critical
1/5/2026 2:00,V100,Brake Pad Wear Sensor,2.78,116,Critical
1/5/2026 3:00,V100,Brake Pad Wear Sensor,3.27,80.1,Critical
