timestamp,vehicle_id,sensor_type,stress_level,vibration_level,status
2026-01-01 00:00:00,V300,Strain Gauge Sensor,9.07,1.67,Good
2026-01-01 01:00:00,V300,Strain Gauge Sensor,10.57,0.7,Good
2026-01-01 02:00:00,V301,Strain Gauge Sensor,6.31,3.97,Good
2026-01-01 03:00:00,V301,Strain Gauge Sensor,9.15,3.1,Good
2026-01-01 04:00:00,V301,Strain Gauge Sensor,9.37,2.67,Good
2026-01-01 05:00:00,V301,Strain Gauge Sensor,12.29,4.47,Good
2026-01-01 06:00:00,V301,Strain Gauge Sensor,15.94,3.94,Good
2026-01-01 07:00:00,V301,Strain Gauge Sensor,20.21,0.76,Good
2026-01-01 08:00:00,V301,Strain Gauge Sensor,21.74,1.56,Good
2026-01-01 09:00:00,V300,Strain Gauge Sensor,20.54,1.24,Good
2026-01-01 10:00:00,V300,Strain Gauge Sensor,13.71,3.72,Good
2026-01-01 11:00:00,V301,Strain Gauge Sensor,18.87,0.17,Good
2026-01-01 12:00:00,V300,Strain Gauge Sensor,31.57,2.85,Good
2026-01-01 13:00:00,V300,Strain Gauge Sensor,25.58,3.81,Good
2026-01-01 14:00:00,V300,Strain Gauge Sensor,19.11,4.38,Good
2026-01-01 15:00:00,V301,Strain Gauge Sensor,30.03,1.71,Good
2026-01-01 16:00:00,V301,Strain Gauge Sensor,20.99,4.11,Good
2026-01-01 17:00:00,V300,Strain Gauge Sensor,20.4,0.55,Good
2026-01-01 18:00:00,V301,Strain Gauge Sensor,31.52,4.23,Good
2026-01-01 19:00:00,V300,Strain Gauge Sensor,18.81,0.64,Good
2026-01-01 20:00:00,V300,Strain Gauge Sensor,16.59,1.99,Good
2026-01-01 21:00:00,V300,Strain Gauge Sensor,31.68,3.99,Good
2026-01-01 22:00:00,V300,Strain Gauge Sensor,27.92,0.75,Good
2026-01-01 23:00:00,V301,Strain Gauge Sensor,29.22,1.15,Good
2026-01-02 00:00:00,V301,Strain Gauge Sensor,27.59,3.61,Good
2026-01-02 01:00:00,V301,Strain Gauge Sensor,29.01,3.6,Good
2026-01-02 02:00:00,V300,Strain Gauge Sensor,28.72,3.21,Good
2026-01-02 03:00:00,V301,Strain Gauge Sensor,28.69,3.47,Good
2026-01-02 04:00:00,V300,Strain Gauge Sensor,30.72,2.71,Good
2026-01-02 05:00:00,V301,Strain Gauge Sensor,31.37,1.26,Good
2026-01-02 06:00:00,V300,Strain Gauge Sensor,30.1,1.73,Good
2026-01-02 07:00:00,V300,Strain Gauge Sensor,32.32,0.91,Good
2026-01-02 08:00:00,V300,Strain Gauge Sensor,23.34,4.54,Good
2026-01-02 09:00:00,V301,Strain Gauge Sensor,40.09,2.92,Good
2026-01-02 10:00:00,V301,Strain Gauge Sensor,39.43,2.0,Good
2026-01-02 11:00:00,V301,Strain Gauge Sensor,37.86,2.31,Good
2026-01-02 12:00:00,V301,Strain Gauge Sensor,40.28,4.74,Good
2026-01-02 13:00:00,V300,Strain Gauge Sensor,41.27,0.77,Good
2026-01-02 14:00:00,V301,Strain Gauge Sensor,37.09,2.93,Warning
2026-01-02 15:00:00,V301,Strain Gauge Sensor,38.85,2.53,Warning
