timestamp,vehicle_id,brake_pad_thickness_mm,brake_temp_c,airbag_status,chassis_stress_level,vibration_level,health_status
1/1/2026 0:00,V102,5.25,31.6,OK,94.72,2.95,Good
1/1/2026 1:00,V100,9.3,47.3,OK,98.6,1.96,Good
1/1/2026 2:00,V102,8.38,142.8,OK,75.34,2.19,Good
1/1/2026 3:00,V102,10.87,30.9,OK,37.63,4.52,Warning
1/1/2026 4:00,V100,6.72,57.3,OK,8.35,1.74,Good
1/1/2026 5:00,V100,3.2,123.3,OK,77.71,2.57,Good
1/1/2026 6:00,V102,9.13,147.6,OK,55.84,3.92,Good
1/1/2026 7:00,V101,9.61,140.8,OK,42.42,1.98,Good
1/1/2026 8:00,V102,7.61,68.1,OK,90.64,3.11,Good
1/1/2026 9:00,V102,9.71,151.1,OK,11.12,4.31,Good
1/1/2026 10:00,V102,6.94,70.3,OK,49.26,4.75,Good
1/1/2026 11:00,V102,7.23,85.3,Fault,1.14,0.74,Good
1/1/2026 12:00,V100,6.28,156.9,OK,46.87,4.63,Good
1/1/2026 13:00,V102,2.25,140.4,OK,5.63,2.46,Good
1/1/2026 14:00,V101,3.08,174.4,OK,11.88,1.29,Good
1/1/2026 15:00,V100,2.31,141.8,OK,11.75,2.3,Good
1/1/2026 16:00,V101,8.36,126.6,OK,64.92,4.9,Good
1/1/2026 17:00,V101,5.14,45.9,OK,74.6,2.46,Good
1/1/2026 18:00,V101,7.09,92.5,OK,58.34,1.64,Good
1/1/2026 19:00,V101,11.08,75.1,OK,96.22,3.17,Good
1/1/2026 20:00,V100,4.49,71.5,OK,37.49,1.2,Critical
1/1/2026 21:00,V100,6.1,195.4,OK,28.57,0.38,Good
1/1/2026 22:00,V101,9.56,96.8,OK,86.86,0.64,Warning
1/1/2026 23:00,V101,4.29,181.6,OK,22.36,0.64,Good
1/2/2026 0:00,V100,2.77,137.3,OK,96.32,0.76,Good
1/2/2026 1:00,V100,4.9,165.1,OK,1.22,0.69,Warning
